Cas,FVE_vyroba_kW,Spotreba_kW,Cena_nakup_Kc_kWh,Cena_prodej_Kc_kWh,Pozadavek_TUV_kW,Pozadavek_topeni_kW,Venkovni_teplota_C,Baterie_vykon_kW,Baterie_nabijeni_kW,Baterie_vybijeni_kW,Baterie_SOC_kWh,Baterie_SOC_procenta,Sit_nakup_kW,Sit_prodej_kW,Naklady_nakup_Kc,Prijmy_prodej_Kc,Celkove_naklady_Kc,Ohrev_dolni_kW,Ohrev_horni_kW,Ohrev_celkem_kW,Odber_dolni_kW,Odber_horni_kW,Akumulace_dolni_kWh,Akumulace_horni_kWh,Akumulace_dolni_procenta,Akumulace_horni_procenta,Teplota_dolni_C,Teplota_horni_C,Rezim_menic,Horni_akumulace,Dolni_akumulace,Maximalni_ohrev,Blokovani_ohrevu,Cilovy_SOC_procenta,Rezervovany_vykon_W,Minimalni_SOC_procenta,FVE_prebytek_kW,Nevyuzita_FVE_kW,Energeticka_bilance_kW
2025-07-11T09:00:00+02:00,5.7485,1.0,4.193981,1.74,0.0,1.0199999999999998,17.8,0.0,0.0,0.0,11.832,68,0.0,0.7485,0.0,1.3023900000000002,-1.3023900000000002,0.0,4.0,4.0,0.0,0.0,18.764791,10.964872,41.96674976781171,69.93460575619868,53.081712372296444,76.47057259028941,Feedin Priority,True,False,False,False,68,0,30,4.7485,0.0,0.0
2025-07-11T10:00:00+02:00,6.488,1.0,3.871758,1.5,0.0,0.8257142857142854,18.6,1.39872,1.39872,0.0,13.146797,75,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,19.452861,13.937973,43.505592460636706,88.89722076058358,53.928075853350194,85.00374934226261,Back Up Mode,True,False,False,False,75,1398,30,5.488,0.0,0.08928000000000047
2025-07-11T11:00:00+02:00,6.8825,1.0,3.5781394,1.29,0.0,0.7528571428571432,18.9,0.62409684,0.62409684,0.0,13.733448,78,0.0,0.0,0.0,0.0,0.0,1.6569893,3.5615779,5.2185672,0.0,0.0,22.564555,15.67875,50.464779133805685,100.0,57.75562852359313,90.0,Back Up Mode,True,True,False,False,78,624,30,5.8825,0.0,0.039835960000000004
2025-07-11T12:00:00+02:00,6.6917,0.75,3.9079279,1.07,0.0,0.6314285714285718,19.4,0.0,0.0,0.0,13.733448,78,0.0,0.0,0.0,0.0,0.0,3.9892628,1.9524372,5.9417,0.0,0.0,28.116137,15.67875,62.88068361201104,100.0,64.58437598660608,90.0,Back Up Mode,True,True,False,False,78,0,30,5.9417,0.0,-2.220446049250313e-16
2025-07-11T13:00:00+02:00,6.2149,0.75,2.6695867,0.61,0.0,0.7285714285714285,19.0,0.0,0.0,0.0,13.733448,78,0.0,0.0,0.0,0.0,0.0,4.1953376,1.2695624,5.4649,0.0,0.0,33.174405,15.67875,74.19330987118597,100.0,70.8063204291523,90.0,Back Up Mode,True,True,False,False,78,0,30,5.4649,0.0,-2.220446049250313e-16
2025-07-11T14:00:00+02:00,5.458,0.75,2.4010150999999995,0.41,0.0,0.8742857142857147,18.4,0.0,0.0,0.0,13.733448,78,0.0,0.0,0.0,0.0,0.0,4.708,0.0,4.708,0.0,0.0,38.108096,15.031382,85.22732435228012,95.87104839352627,76.87502839375406,88.14197177708682,Back Up Mode,False,True,False,False,78,0,30,4.708,0.0,0.0
2025-07-11T15:00:00+02:00,4.4824,0.75,3.5603675,0.81,1.0,0.8014285714285716,18.7,0.0,0.0,0.0,13.733448,78,0.0,0.0,0.0,0.0,0.0,3.7324,0.0,3.7324,0.0,1.0,41.258838,14.182179,92.2738404097696,90.45478115283424,80.75061222537329,85.70465151877542,Back Up Mode,False,True,False,False,78,0,30,3.7324,0.0,0.0
2025-07-11T16:00:00+02:00,3.2017,0.75,3.5605581,1.27,0.0,0.8742857142857147,18.4,0.0,0.0,0.0,13.733448,78,0.0,0.0,0.0,0.0,0.0,2.4517,0.0,2.4517,0.0,0.0,42.488218,14.97147,95.02330257162117,95.48892609423582,82.26281641439164,87.97001674240613,Back Up Mode,False,True,False,False,78,0,30,2.4517,0.0,0.0
2025-07-11T17:00:00+02:00,2.3466,0.75,4.2777493,1.81,0.0,1.5300000000000002,15.7,0.0,0.0,0.0,13.733448,78,0.0,0.0,0.0,0.0,0.0,1.5966,0.0,1.5966,0.0,0.0,42.934157,15.67875,96.02062838381421,100.0,82.81134561109783,90.0,Back Up Mode,False,True,False,False,78,0,30,1.5966,0.0,0.0
2025-07-11T18:00:00+02:00,1.4442,0.75,4.6020535,2.05,5.0,1.7485714285714284,14.8,-2.0945124,0.0,2.0945124,11.505243,66,0.0,0.0,0.0,0.0,0.0,0.0,2.6630416,2.6630416,0.0,5.0,41.930315,13.894926,93.77557348176818,88.62266443434585,81.57656541497249,84.88019899545563,Back Up Mode,True,False,False,False,66,0,30,0.6941999999999999,0.0,0.12567079999999997
