Cas,FVE_vyroba_kW,Spotreba_kW,Cena_nakup_Kc_kWh,Cena_prodej_Kc_kWh,Pozadavek_TUV_kW,Pozadavek_topeni_kW,Venkovni_teplota_C,Baterie_vykon_kW,Baterie_nabijeni_kW,Baterie_vybijeni_kW,Baterie_SOC_kWh,Baterie_SOC_procenta,Sit_nakup_kW,Sit_prodej_kW,Naklady_nakup_Kc,Prijmy_prodej_Kc,Celkove_naklady_Kc,Ohrev_dolni_kW,Ohrev_horni_kW,Ohrev_celkem_kW,Odber_dolni_kW,Odber_horni_kW,Akumulace_dolni_kWh,Akumulace_horni_kWh,Akumulace_dolni_procenta,Akumulace_horni_procenta,Teplota_dolni_C,Teplota_horni_C,Rezim_menic,Horni_akumulace,Dolni_akumulace,Maximalni_ohrev,Blokovani_ohrevu,Cilovy_SOC_procenta,Rezervovany_vykon_W,Minimalni_SOC_procenta,FVE_prebytek_kW,Nevyuzita_FVE_kW,Energeticka_bilance_kW
2025-07-10T16:00:00+02:00,5.0684,0.75,3.7277801,1.4,0.0,1.3600000000000003,16.4,0.0,0.0,0.0,15.66,90,0.0,0.3184,0.0,0.44576,-0.44576,0.0,4.0,4.0,0.0,0.0,36.498509,14.452797,81.62754352559662,92.18079885194929,74.89514893907815,86.48135948337719,Feedin Priority,True,False,False,False,90,0,30,4.3184,0.0,-4.440892098500626e-16
2025-07-10T17:00:00+02:00,4.2731,0.75,4.03898,1.63,0.0,1.6757142857142857,15.1,0.0,0.0,0.0,15.66,90,0.0,3.5231,0.0,5.742653,-5.742653,0.0,0.0,0.0,0.0,0.0,35.953565,14.576575,80.40879675215957,92.97026229769592,74.22483821368778,86.83661803396316,Feedin Priority,False,False,False,False,90,0,30,3.5231000000000003,0.0,4.440892098500626e-16
2025-07-10T18:00:00+02:00,3.2318,0.75,4.4276804,1.92,5.0,1.7971428571428572,14.6,0.0,0.0,0.0,15.66,90,0.0,2.4818,0.0,4.7650559999999995,-4.7650559999999995,0.0,0.0,0.0,0.0,5.0,35.5128,9.5967468,79.42304239649371,61.20862186079885,73.68267331807155,72.54387983735948,Feedin Priority,False,False,False,False,90,0,30,2.4818,0.0,0.0
2025-07-10T19:00:00+02:00,1.6063,0.75,5.426066499999999,2.2,0.0,1.967142857142857,13.9,0.0,0.0,0.0,15.66,90,0.0,0.8563,0.0,1.88386,-1.88386,0.0,0.0,0.0,0.0,0.0,33.698288,11.034219,75.36495450973327,70.37690504663956,71.4507249803533,76.6696072709878,Feedin Priority,False,False,False,False,90,0,30,0.8563000000000001,0.0,1.1102230246251565e-16
2025-07-10T20:00:00+02:00,0.211,0.75,5.390791999999999,2.63,0.0,2.3557142857142854,12.3,-3.9226809,0.0,3.9226809,11.486935,66,0.0,3.14832,0.0,8.280081599999999,-8.280081599999999,0.0,0.0,0.0,0.0,0.0,32.524941,11.823729,72.74080804629477,75.41244678306626,70.00744442546213,78.93560105237981,Manual,False,False,False,False,66,0,30,0,0.0,0.23536089999999987
2025-07-10T21:00:00+02:00,0.0,0.5,5.388698699999999,2.63,0.0,2.258571428571429,12.7,-0.53191489,0.0,0.53191489,10.921068,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.726011,12.235615,70.95403113031432,78.03948018815275,69.02471712167286,80.11776608466874,Back Up Mode,False,False,False,False,62,0,30,0,0.0,0.03191489000000003
2025-07-10T22:00:00+02:00,0.0,0.5,5.0321964,2.37,0.0,2.3314285714285714,12.4,-0.53191489,0.0,0.53191489,10.355201,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.145947,12.427518,69.6567397969168,79.26344893566132,68.31120688830424,80.66855202104759,Back Up Mode,False,False,False,False,59,0,30,0,0.0,0.03191489000000003
2025-07-10T23:00:00+02:00,0.0,0.5,4.6452747,2.08,0.0,2.307142857142857,12.5,-0.53191489,0.0,0.53191489,9.7893345,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.694038,12.491363,68.6460623041154,79.67065614286852,67.75533426726346,80.85179526429084,Back Up Mode,False,False,False,False,56,0,30,0,0.0,0.03191489000000003
2025-07-11T00:00:00+02:00,0.0,0.5,4.5325995,2.0,0.0,2.3314285714285714,12.4,-0.53191489,0.0,0.53191489,9.2234676,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.317385,12.480755,67.80369202670089,79.60299768795343,67.29203061468549,80.82134895957904,Back Up Mode,False,False,False,False,53,0,30,0,0.0,0.03191489000000003
2025-07-11T01:00:00+02:00,0.0,0.5,4.3674707999999995,1.87,0.0,2.4042857142857144,12.1,-0.53191489,0.0,0.53191489,8.6576007,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.985138,12.426951,67.06063409921816,79.25983257593877,66.88334875457,80.66692465917245,Back Up Mode,False,False,False,False,49,0,30,0,0.0,0.03191489000000003
2025-07-11T02:00:00+02:00,0.0,0.5,4.2276674,1.77,0.0,2.525714285714286,11.6,-0.53191489,0.0,0.53191489,8.0917338,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.679305,12.348178,66.37665008992442,78.75741369688272,66.50715754945844,80.44083616359723,Back Up Mode,False,False,False,False,46,0,30,0,0.0,0.03191489000000003
2025-07-11T03:00:00+02:00,0.0,0.5,4.122736199999999,1.69,0.0,2.6957142857142857,10.9,-0.53191489,0.0,0.53191489,7.5258669,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.389391,12.255063,65.72826832579045,78.16352068883042,66.15054757918475,80.17358430997369,Back Up Mode,False,False,False,False,43,0,30,0,0.0,0.03191489000000003
2025-07-11T04:00:00+02:00,0.0,0.5,4.1486786,1.71,0.0,2.5985714285714283,11.3,-0.53191489,0.0,0.53191489,6.96,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.109276,12.153802,65.10180165684591,77.51767200829147,65.80599091126525,79.88295240373117,Back Up Mode,False,False,False,False,40,0,30,0,0.0,0.03191489000000003
2025-07-11T05:00:00+02:00,0.69,0.5,4.2950281,1.82,0.0,2.21,12.9,0.0,0.0,0.0,6.96,40,0.0,0.19,0.0,0.3458,-0.3458,0.0,0.0,0.0,0.0,0.0,28.835387,12.048007,64.48925920288752,76.84290520609105,65.46909256158814,79.57930734274098,Feedin Priority,False,False,False,False,40,0,30,0.18999999999999995,0.0,-5.551115123125783e-17
2025-07-11T06:00:00+02:00,3.0176,1.25,4.5692746,2.02,1.2,1.8942857142857144,14.2,0.0,0.0,0.0,6.96,40,0.0,1.7676,0.0,3.570552,-3.570552,0.0,0.0,0.0,0.0,1.2,28.565638,10.739785,63.88597570332083,68.49898748305827,65.13728663682646,75.82454436737622,Feedin Priority,False,False,False,False,40,0,30,1.7675999999999998,0.0,-2.220446049250313e-16
2025-07-11T07:00:00+02:00,4.715,1.25,4.515913599999999,1.98,0.05,1.6757142857142857,15.1,0.0,0.0,0.0,6.96,40,0.0,3.465,0.0,6.8607,-6.8607,0.0,0.0,0.0,0.0,0.05,27.954395,10.934955,62.51895370833424,69.74379335087299,64.38542453958382,76.38470700789286,Feedin Priority,False,False,False,False,40,0,30,3.465,0.0,0.0
2025-07-11T08:00:00+02:00,5.7844,1.25,5.1092037999999995,1.96,0.0,1.4085714285714288,16.2,0.0,0.0,0.0,6.96,40,0.0,4.5344,0.0,8.887424,-8.887424,0.0,0.0,0.0,0.0,0.0,27.476173,11.047268,61.44942818004765,70.46013234473412,63.79718549902621,76.70705955513036,Feedin Priority,False,False,False,False,40,0,30,4.5344,0.0,0.0
2025-07-11T09:00:00+02:00,6.3982,1.0,4.193981,1.74,0.0,1.3114285714285712,16.6,0.0,0.0,0.0,6.96,40,0.0,5.3982,0.0,9.392868,-9.392868,0.0,0.0,0.0,0.0,0.0,27.090433,11.067568,60.586735168682075,70.58960695208482,63.32270434277514,76.76532312843817,Feedin Priority,False,False,False,False,40,0,30,5.3982,0.0,0.0
2025-07-11T10:00:00+02:00,6.6873,1.0,3.871758,1.5,0.0,1.1171428571428574,17.4,0.0,0.0,0.0,6.96,40,0.0,5.6873,0.0,8.530949999999999,-8.530949999999999,0.0,0.0,0.0,0.0,0.0,26.759114,11.034422,59.84575267831905,70.37819979271306,62.91516397307548,76.67018990672088,Feedin Priority,False,False,False,False,40,0,30,5.6873,0.0,0.0
2025-07-11T11:00:00+02:00,7.2279,1.0,3.5781394,1.29,0.0,0.922857142857143,18.2,0.0,0.0,0.0,6.96,40,0.0,3.8999232,0.0,5.030900928,-5.030900928,0.0,2.3279768,2.3279768,0.0,0.0,26.460022,13.298293,59.176844662154394,84.81730367535675,62.54726456418492,83.16778665391055,Feedin Priority,True,False,False,False,40,0,30,6.2279,0.0,0.0
2025-07-11T12:00:00+02:00,7.5229,0.75,3.9079279,1.07,0.0,0.922857142857143,18.2,3.4052291,3.4052291,0.0,10.160915,58,0.0,0.0,0.0,0.0,0.0,0.0,3.1503159,3.1503159,0.0,0.0,26.848369,15.67875,60.04536813103185,100.0,63.02495247206752,90.0,Back Up Mode,True,False,False,False,58,3405,30,6.7729,0.0,0.21735499999999996
2025-07-11T13:00:00+02:00,7.1468,0.75,2.6695867,0.61,0.0,0.6071428571428571,19.5,2.5937263,2.5937263,0.0,12.599018,72,0.0,0.0,0.0,0.0,0.0,2.212012,1.4255047,3.6375167,0.0,0.0,30.083026,15.67875,67.27955693194632,100.0,67.00375631257047,90.0,Back Up Mode,True,True,False,False,72,2593,30,6.3968,0.0,0.1655569999999995
2025-07-11T14:00:00+02:00,6.569,0.75,2.4010150999999995,0.41,0.0,0.7528571428571432,18.9,0.0,0.0,0.0,12.599018,72,0.0,0.0,0.0,0.0,0.0,5.1583992,0.66060079,5.81899999,0.0,0.0,35.856567,15.311726,80.19186437097942,97.6590990990991,74.10552540403867,88.9465945945946,Back Up Mode,True,True,False,False,72,0,30,5.819,0.0,1.0000000050247593e-08
2025-07-11T15:00:00+02:00,5.7012,0.75,3.5603675,0.81,1.0,0.8742857142857147,18.4,0.0,0.0,0.0,12.599018,72,0.0,0.0,0.0,0.0,0.0,4.9512,0.0,4.9512,0.0,1.0,40.590219,14.102733,90.7784991473487,89.94806983975126,79.92817453104179,85.47663142788807,Back Up Mode,False,True,False,False,72,0,30,4.9512,0.0,0.0
2025-07-11T16:00:00+02:00,4.6005,0.75,3.5605581,1.27,0.0,0.9714285714285714,18.0,0.0,0.0,0.0,12.599018,72,0.0,0.0,0.0,0.0,0.0,3.8505,0.0,3.8505,0.0,0.0,43.279829,14.833256,96.79371081919754,94.60738898190226,83.23654095055866,87.57332504185602,Back Up Mode,False,True,False,False,72,0,30,3.8505000000000003,0.0,4.440892098500626e-16
