Cas,FVE_vyroba_kW,Spotreba_kW,Cena_nakup_Kc_kWh,Cena_prodej_Kc_kWh,Pozadavek_TUV_kW,Pozadavek_topeni_kW,Venkovni_teplota_C,Baterie_vykon_kW,Baterie_nabijeni_kW,Baterie_vybijeni_kW,Baterie_SOC_kWh,Baterie_SOC_procenta,Sit_nakup_kW,Sit_prodej_kW,Naklady_nakup_Kc,Prijmy_prodej_Kc,Celkove_naklady_Kc,Ohrev_dolni_kW,Ohrev_horni_kW,Ohrev_celkem_kW,Odber_dolni_kW,Odber_horni_kW,Akumulace_dolni_kWh,Akumulace_horni_kWh,Akumulace_dolni_procenta,Akumulace_horni_procenta,Teplota_dolni_C,Teplota_horni_C,Rezim_menic,Horni_akumulace,Dolni_akumulace,Maximalni_ohrev,Blokovani_ohrevu,Cilovy_SOC_procenta,Rezervovany_vykon_W,Minimalni_SOC_procenta,FVE_prebytek_kW,Nevyuzita_FVE_kW,Energeticka_bilance_kW
2025-07-09T16:00:00+02:00,4.3858,0.75,3.737448,1.4,0.0,1.7485714285714284,14.8,0.0,0.0,0.0,14.268,82,0.0,0.0,0.0,0.0,0.0,0.0,3.6358,3.6358,0.0,0.0,24.299746,11.132103,54.34546858546859,71.00121502033008,59.890007722007724,76.95054675914852,Back Up Mode,True,False,False,False,82,0,30,3.6357999999999997,0.0,-4.440892098500626e-16
2025-07-09T17:00:00+02:00,3.5931,0.75,3.8742384999999997,1.51,0.0,1.7485714285714284,14.8,0.0,0.0,0.0,14.268,82,0.0,0.0,0.0,0.0,0.0,0.0,2.8431,2.8431,0.0,0.0,24.338521,13.579717,54.432187415550246,86.61224268516304,59.93770307855264,83.97550920832337,Back Up Mode,True,False,False,False,82,0,30,2.8431,0.0,0.0
2025-07-09T18:00:00+02:00,2.6648,0.75,4.4699941,1.95,5.0,1.9185714285714286,14.1,0.0,0.0,0.0,14.268,82,0.0,0.0,0.0,0.0,0.0,0.0,1.9148,1.9148,0.0,5.0,25.074907,9.3805423,56.07908702634366,59.82965670094873,60.84349786448902,71.92334551542693,Back Up Mode,True,False,False,False,82,0,30,1.9148,0.0,0.0
2025-07-09T19:00:00+02:00,1.2731,0.75,5.589900500000001,2.32,0.0,2.1614285714285715,13.1,0.0,0.0,0.0,14.268,82,0.0,0.5231,0.0,1.213592,-1.213592,0.0,0.0,0.0,0.0,0.0,24.513306,9.597984,54.823087498485734,61.21651279598182,60.15269812416715,72.54743075819182,Feedin Priority,False,False,False,False,82,0,30,0.5230999999999999,0.0,-1.1102230246251565e-16
2025-07-09T20:00:00+02:00,0.211,0.75,5.5613536,2.76,0.0,2.282857142857143,12.6,-0.57340426,0.0,0.57340426,13.657995,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.084865,9.6820928,53.86489530560327,61.752963724786724,59.6256924180818,72.78883367615403,Back Up Mode,False,False,False,False,78,0,30,0,0.0,0.034404259999999964
2025-07-09T21:00:00+02:00,0.0,0.5,5.546748899999999,2.75,0.0,2.4042857142857144,12.1,-0.53191489,0.0,0.53191489,13.092129,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.734539,9.6886472,53.08140437414774,61.79476807781232,59.19477240578126,72.80764563501555,Back Up Mode,False,False,False,False,75,0,30,0,0.0,0.03191489000000003
2025-07-09T22:00:00+02:00,0.0,0.5,4.95011,2.31,0.0,2.452857142857143,11.9,-0.53191489,0.0,0.53191489,12.526262,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.430228,9.6501728,52.40082426064726,61.54937606633182,58.820453343356,72.69721922984932,Back Up Mode,False,False,False,False,71,0,30,0,0.0,0.03191489000000003
2025-07-09T23:00:00+02:00,0.0,0.5,4.5623776,2.02,0.0,2.452857142857143,11.9,-0.53191489,0.0,0.53191489,11.960395,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.153211,9.5856355,51.781286152259604,61.13775332854979,58.47970738374278,72.5119889978474,Back Up Mode,False,False,False,False,68,0,30,0,0.0,0.03191489000000003
2025-07-10T00:00:00+02:00,0.0,0.5,4.453296099999999,1.94,0.0,2.3800000000000003,12.2,-0.53191489,0.0,0.53191489,11.394528,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.89257,9.5060941,51.19837235235465,60.63043354859284,58.15910479379506,72.28369509686678,Back Up Mode,False,False,False,False,65,0,30,0,0.0,0.03191489000000003
2025-07-10T01:00:00+02:00,0.0,0.5,4.2989242999999995,1.82,0.0,2.4285714285714284,12.0,-0.53191489,0.0,0.53191489,10.828661,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.641935,9.4179967,50.63783659535871,60.068543091764326,57.850810127447296,72.03084439129395,Back Up Mode,False,False,False,False,62,0,30,0,0.0,0.03191489000000003
