Cas,FVE_vyroba_kW,Spotreba_kW,Cena_nakup_Kc_kWh,Cena_prodej_Kc_kWh,Pozadavek_TUV_kW,Pozadavek_topeni_kW,Venkovni_teplota_C,Baterie_vykon_kW,Baterie_nabijeni_kW,Baterie_vybijeni_kW,Baterie_SOC_kWh,Baterie_SOC_procenta,Sit_nakup_kW,Sit_prodej_kW,Naklady_nakup_Kc,Prijmy_prodej_Kc,Celkove_naklady_Kc,Ohrev_dolni_kW,Ohrev_horni_kW,Ohrev_celkem_kW,Odber_dolni_kW,Odber_horni_kW,Akumulace_dolni_kWh,Akumulace_horni_kWh,Akumulace_dolni_procenta,Akumulace_horni_procenta,Teplota_dolni_C,Teplota_horni_C,Rezim_menic,Horni_akumulace,Dolni_akumulace,Maximalni_ohrev,Blokovani_ohrevu,Cilovy_SOC_procenta,Rezervovany_vykon_W,Minimalni_SOC_procenta,FVE_prebytek_kW,Nevyuzita_FVE_kW,Energeticka_bilance_kW
2025-07-10T09:00:00+02:00,2.8225,1.0,4.0769014,1.66,0.0,1.6757142857142857,15.1,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,0.0,1.8225,1.8225,0.0,0.0,8.8382087,6.8986013,19.766321559808283,43.99968938850355,40.87147685789456,64.7998602248266,Back Up Mode,True,False,False,False,77,0,30,1.8224999999999998,0.0,-2.220446049250313e-16
2025-07-10T10:00:00+02:00,4.8034,1.0,3.8188084,1.46,0.0,1.3842857142857141,16.3,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,0.0,3.8034,3.8034,0.0,0.0,9.6097578,9.6556434,21.49186212209221,61.58426787849796,41.820524167150715,72.71292054532408,Back Up Mode,True,False,False,False,77,0,30,3.8034,0.0,0.0
2025-07-10T11:00:00+02:00,6.244,1.0,3.3929367999999998,1.15,0.0,1.1171428571428574,17.4,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,1.244,4.0,5.244,0.0,0.0,12.319413,11.889497,27.551904130311215,75.83191899864467,45.153547271671165,79.1243635493901,Back Up Mode,True,True,False,False,77,0,30,5.244,0.0,0.0
2025-07-10T12:00:00+02:00,6.9598,0.75,3.4161234,0.7,0.0,1.0442857142857145,17.7,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,2.2098,4.0,6.2097999999999995,0.0,0.0,16.294651,13.796559,36.44237450184353,87.99527385792872,50.04330597601394,84.59787323606793,Back Up Mode,True,True,False,False,77,0,30,6.2098,0.0,0.0
2025-07-10T13:00:00+02:00,7.1532,0.75,2.6183674,0.57,0.0,1.7,15.0,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,2.4032,4.0,6.4032,0.0,0.0,20.509839,15.629068,45.869484029484035,99.68312524914295,55.22821621621622,89.85740636211433,Back Up Mode,True,True,False,False,77,0,30,6.4032,0.0,0.0
2025-07-10T14:00:00+02:00,6.5939,0.75,2.6156933,0.57,0.0,1.0199999999999998,17.8,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,3.6037207,2.2401793,5.8439,0.0,0.0,25.920472,15.67875,57.970161366975525,100.0,61.88358875183654,90.0,Back Up Mode,True,True,False,False,77,0,30,5.8439,0.0,-4.440892098500626e-16
2025-07-10T15:00:00+02:00,5.9642,0.75,3.7505069,0.95,1.0,1.3600000000000003,16.4,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,2.6745589,2.5396411,5.2142,0.0,1.0,29.734572,15.67875,66.50025265812876,100.0,66.57513896197082,90.0,Back Up Mode,True,True,False,False,77,0,30,5.2142,0.0,0.0
2025-07-10T16:00:00+02:00,5.0684,0.75,3.7273202999999997,1.4,0.0,1.3600000000000003,16.4,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,3.2479139,1.0704861,4.3184000000000005,0.0,0.0,33.641527,15.67875,75.23801066668325,100.0,71.38090586667579,90.0,Back Up Mode,True,True,False,False,77,0,30,4.3184,0.0,-4.440892098500626e-16
2025-07-10T17:00:00+02:00,4.2731,0.75,4.0384476,1.63,0.0,1.457142857142857,16.0,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,2.9331906,0.58990944,3.52310004,0.0,0.0,36.74156,15.67875,82.17111795164892,100.0,75.19411487340692,90.0,Back Up Mode,True,True,False,False,77,0,30,3.5231000000000003,0.0,-3.999999975690116e-08
2025-07-10T18:00:00+02:00,3.2318,0.75,4.4270754,1.92,5.0,1.7242857142857142,14.9,-1.6151064,0.0,1.6151064,11.679802,67,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,36.517861,14.470162,81.67082354622178,92.29155385473969,74.91895295042198,86.53119923463287,Back Up Mode,True,False,False,False,67,0,30,2.4818,0.0,0.09690639999999995
