Cas,FVE_vyroba_kW,Spotreba_kW,Cena_nakup_Kc_kWh,Cena_prodej_Kc_kWh,Pozadavek_TUV_kW,Pozadavek_topeni_kW,Venkovni_teplota_C,Baterie_vykon_kW,Baterie_nabijeni_kW,Baterie_vybijeni_kW,Baterie_SOC_kWh,Baterie_SOC_procenta,Sit_nakup_kW,Sit_prodej_kW,Naklady_nakup_Kc,Prijmy_prodej_Kc,Celkove_naklady_Kc,Ohrev_dolni_kW,Ohrev_horni_kW,Ohrev_celkem_kW,Odber_dolni_kW,Odber_horni_kW,Akumulace_dolni_kWh,Akumulace_horni_kWh,Akumulace_dolni_procenta,Akumulace_horni_procenta,Teplota_dolni_C,Teplota_horni_C,Rezim_menic,Horni_akumulace,Dolni_akumulace,Maximalni_ohrev,Blokovani_ohrevu,Cilovy_SOC_procenta,Rezervovany_vykon_W,Minimalni_SOC_procenta,FVE_prebytek_kW,Nevyuzita_FVE_kW,Energeticka_bilance_kW
2025-07-10T09:00:00+02:00,2.8225,1.0,4.0769014,1.66,0.0,1.6757142857142857,15.1,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,0.0,1.8225,1.8225,0.0,0.0,9.0473783,7.0633064,20.2341215082454,45.05018831220601,41.128766829534975,65.2725847404927,Back Up Mode,True,False,False,False,77,0,30,1.8224999999999998,0.0,-2.220446049250313e-16
2025-07-10T10:00:00+02:00,4.8034,1.0,3.8188084,1.46,0.0,1.3842857142857141,16.3,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,0.0,3.8034,3.8034,0.0,0.0,9.8398487,9.7974078,22.00645177161991,62.48844965319301,42.10354847439095,73.11980234393687,Back Up Mode,True,False,False,False,77,0,30,3.8034,0.0,0.0
2025-07-10T11:00:00+02:00,6.244,1.0,3.3929367999999998,1.15,0.0,1.1171428571428574,17.4,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,1.244,4.0,5.244,0.0,0.0,12.561206,12.017673,28.092665086647386,76.64943314996412,45.45096579765607,79.49224491748384,Back Up Mode,True,True,False,False,77,0,30,5.244,0.0,0.0
2025-07-10T12:00:00+02:00,6.9598,0.75,3.4161234,0.7,0.0,1.0442857142857145,17.7,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,2.2098,4.0,6.2097999999999995,0.0,0.0,16.54277,13.916601,36.99728331940722,88.76090887347524,50.34850582567397,84.94240899306385,Back Up Mode,True,True,False,False,77,0,30,6.2098,0.0,0.0
2025-07-10T13:00:00+02:00,7.1532,0.75,2.6183674,0.57,0.0,1.7,15.0,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,2.4686088,3.9345912,6.4032,0.0,0.0,20.826563,15.67875,46.5778253509227,100.0,55.61780394300749,90.0,Back Up Mode,True,True,False,False,77,0,30,6.4032,0.0,0.0
2025-07-10T14:00:00+02:00,6.5939,0.75,2.6156933,0.57,0.0,1.0199999999999998,17.8,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,3.6776804,2.1662196,5.8439,0.0,0.0,26.285514,15.67875,58.78656407930744,100.0,62.332610243619094,90.0,Back Up Mode,True,True,False,False,77,0,30,5.8439,0.0,0.0
2025-07-10T15:00:00+02:00,5.9642,0.75,3.7505069,0.95,1.0,1.3600000000000003,16.4,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,2.7194611,2.4947389,5.2142,0.0,1.0,30.098528,15.67875,67.31422657227967,100.0,67.02282461475383,90.0,Back Up Mode,True,True,False,False,77,0,30,5.2142,0.0,-4.440892098500626e-16
2025-07-10T16:00:00+02:00,5.0684,0.75,3.7273202999999997,1.4,0.0,1.3600000000000003,16.4,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,3.2926825,1.0257175,4.3184000000000005,0.0,0.0,34.0044,15.67875,76.04956249204037,100.0,71.8272593706222,90.0,Back Up Mode,True,True,False,False,77,0,30,4.3184,0.0,-6.661338147750939e-16
2025-07-10T17:00:00+02:00,4.2731,0.75,4.0384476,1.63,0.0,1.457142857142857,16.0,0.0,0.0,0.0,13.398,77,0.0,0.0,0.0,0.0,0.0,2.977826,0.54527402,3.5231000199999998,0.0,0.0,37.103354,15.67875,82.98025663406196,100.0,75.63914114873407,90.0,Back Up Mode,True,True,False,False,77,0,30,3.5231000000000003,0.0,-1.9999999545383673e-08
2025-07-10T18:00:00+02:00,3.2318,0.75,4.4270754,1.92,5.0,1.7242857142857142,14.9,-1.6151064,0.0,1.6151064,11.679802,67,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,36.834077,14.514664,82.37802874475442,92.57539025751414,75.30791580961494,86.65892561588137,Back Up Mode,True,False,False,False,67,0,30,2.4818,0.0,0.09690639999999995
2025-07-10T19:00:00+02:00,1.6063,0.75,5.4253889,2.2,0.0,1.967142857142857,13.9,-0.17128956,0.0,0.17128956,11.497579,66,0.0,0.0,0.0,0.0,0.0,0.0,1.0173122,1.0173122,0.0,0.0,36.264615,15.67875,81.10444838586432,100.0,74.60744661222537,90.0,Back Up Mode,True,False,False,False,66,0,30,0.8563000000000001,0.0,0.010277359999999902
2025-07-10T20:00:00+02:00,0.211,0.75,5.389981299999999,2.63,0.0,2.234285714285714,12.8,-0.85771846,0.0,0.85771846,10.585112,60,0.0,0.0,0.0,0.0,0.0,0.0,0.26725536,0.26725536,0.0,0.0,36.101001,15.67875,80.73853182454951,100.0,74.40619250350224,90.0,Back Up Mode,True,False,False,False,60,0,30,0,0.0,0.05146309999999993
2025-07-10T21:00:00+02:00,0.0,0.5,5.3879000999999995,2.63,0.0,2.3314285714285714,12.4,-0.83763906,0.0,0.83763906,9.694007,55,0.0,0.0,0.0,0.0,0.0,0.0,0.28738071,0.28738071,0.0,0.0,35.958,15.67875,80.41871546296325,100.0,74.23029350462978,90.0,Back Up Mode,True,False,False,False,55,0,30,0,0.0,0.05025835000000001
2025-07-10T22:00:00+02:00,0.0,0.5,5.0314704,2.37,0.0,2.307142857142857,12.5,-0.85635179,0.0,0.85635179,8.7829944,50,0.0,0.0,0.0,0.0,0.0,0.0,0.30497068,0.30497068,0.0,0.0,35.833014,15.67875,80.13918897175535,100.0,74.07655393446544,90.0,Back Up Mode,True,False,False,False,50,0,30,0,0.0,0.05138110999999995
2025-07-10T23:00:00+02:00,0.0,0.5,4.6446334,2.08,0.0,2.4042857142857144,12.1,-5.8026148,0.0,5.8026148,2.61,15,0.0,0.0,0.0,0.0,0.0,4.6341132,0.32034466,4.95445786,0.0,0.0,40.357886,15.67875,90.2588951254438,100.0,79.6423923189941,90.0,Manual,True,True,False,False,15,0,30,0,0.0,0.3481569399999999
